XBAR.I0:AE X,XBAR.I0:AE Y,r0 X,r0 Y,XBAR.I0:OE X,XBAR.I0:OE Y
1.577196271327927e-10,-0.0008089073636173645,1.577196271327927e-10,-1.383597158778189,1.577196271327927e-10,0.0008089073636173645
1.589696271327926e-10,-0.0008089411663301703,1.589696271327926e-10,-1.383467158778189,1.589696271327926e-10,0.0008089411663301703
1.614696271327926e-10,-0.0008088422956162052,1.614696271327926e-10,-1.38320715877819,1.614696271327926e-10,0.0008088422956162052
1.664696271327926e-10,-0.0008086247722465299,1.664696271327926e-10,-1.382687158778189,1.664696271327926e-10,0.0008086247722465299
1.714696271327926e-10,-0.0008084400585934397,1.714696271327926e-10,-1.382167158778189,1.714696271327926e-10,0.0008084400585934397
1.764696271327926e-10,-0.0008082453297850581,1.764696271327926e-10,-1.38164715877819,1.764696271327926e-10,0.0008082453297850581
1.814696271327926e-10,-0.0008080452709401554,1.814696271327926e-10,-1.381127158778189,1.814696271327926e-10,0.0008080452709401554
1.864696271327927e-10,-0.0008078360863413488,1.864696271327927e-10,-1.380607158778189,1.864696271327927e-10,0.0008078360863413488
1.914696271327927e-10,-0.0008076228305717963,1.914696271327927e-10,-1.38008715877819,1.914696271327927e-10,0.0008076228305717963
1.964696271327927e-10,-0.0008074006453366165,1.964696271327927e-10,-1.379567158778189,1.964696271327927e-10,0.0008074006453366165
2.014696271327927e-10,-0.000807171888676322,2.014696271327927e-10,-1.379047158778189,2.014696271327927e-10,0.000807171888676322
2.064696271327927e-10,-0.000806939831198189,2.064696271327927e-10,-1.37852715877819,2.064696271327927e-10,0.000806939831198189
2.114696271327927e-10,-0.0008067013772200149,2.114696271327927e-10,-1.378007158778189,2.114696271327927e-10,0.0008067013772200149
